"out[, 1]",Black_1910_est,Black_1910_pval,Black_1920_est,Black_1920_pval,Black_1930_est,Black_1930_pval,White Imm_1910_est,White Imm_1910_pval,White Imm_1920_est,White Imm_1920_pval,White Imm_1930_est,White Imm_1930_pval,White NB_1910_est,White NB_1910_pval,White NB_1920_est,White NB_1920_pval,White NB_1930_est,White NB_1930_pval
(Intercept),10.243041191594392,4.1234710628287925e-8,12.292437413000833,1.0976489978943256e-12,5.731095546406619,5.297291494808369e-8,9.920008098251316,8.225045426753878e-20,8.826395306846097,1.9726992010438202e-20,3.511448016162403,1.4465495301140181e-7,10.908931994291759,6.309682812895862e-78,10.637227182308424,1.8502438847247056e-94,4.566438010698881,5.110020343141419e-35
woman,-0.4332622551205568,0.5592580946050515,-0.8481944900753738,0.22886916191088882,-0.5518065227797906,0.13074307142835978,-0.7992175666554833,0.18569012930071846,-1.4760568149495565,0.022958122632339335,0.2847209538867924,0.5377457803382493,-0.12399960655809089,0.6614850545346838,-0.06058424295194702,0.8299174216319432,-0.42869576711142776,0.02647317521240491
married,0.07057897463695374,0.9077721130038762,0.0809765714436441,0.8952238950117307,-0.09359856629064035,0.7879785766824026,0.7910765745965088,0.08065193522521637,0.004271782274609899,0.9929091403386003,0.5234805653254796,0.13096825834980552,-0.5613634238573072,0.006598553811779083,-0.03791921102906472,0.855486495812611,0.17247624717472146,0.24169916884333623
age1,0.0012286243166501323,0.9417472482697187,-0.008283882198036063,0.5624301020471327,0.002953555880456149,0.713837806383437,-0.04603060302337584,6.250187526043207e-10,-0.047715850734887336,1.0623962140436094e-10,-0.010268683772752514,0.05913841336130749,-0.008926604756121982,0.01210724156890071,-0.006308281189138185,0.06547213480469273,-0.010832021995583455,1.4621225351916023e-5
kids_1_to_2,-0.11100953353291165,0.7501520333888744,0.26739095396947576,0.3768334826536268,-0.27947717806296235,0.12300604964448608,-0.2391749022865661,0.24082911062629278,0.3767031298799582,0.06307566439397924,0.8502547743729161,6.564391069643546e-10,-0.07858572405353831,0.36413338640820314,0.15274845947814114,0.07536468634999378,0.2151867669481571,4.5282140976303867e-4
kids_3_up,0.1331472342805007,0.734336635576599,0.20307970588382385,0.5614251633592022,0.1362203289414813,0.4840152451680265,0.6910715673814648,5.648810064200829e-4,0.7286038396798067,3.0341982480679315e-4,1.001868937470678,6.470207583434115e-12,0.38343614215852295,9.320072797406426e-5,0.1691868856048739,0.0859937755578388,0.028973760483486318,0.6940872042663389
hh_max_sei1,0.03731305700308647,0.4981671239597816,-0.04885734395422873,0.3440968061569345,-0.03441154735196331,0.3457544928611981,-0.010249508364843021,0.6376964151918866,0.05187679711714085,0.002705667722716632,0.012236632116986074,0.2848368542210401,0.027841667748948497,0.01350630405898147,-0.008725388583596495,0.36064660346508404,-0.03737308316640723,2.4254343680989122e-8
ed_pct_black1,0.01709947132388855,0.1723651366798208,-0.010420206746099113,0.3497263110736146,-0.005241990166377041,0.47049417642236135,0.02521226390366764,0.16566790576842433,0.030308554547990977,0.015611947486692038,0.04717047449688646,3.226294214567652e-9,-0.04997311014919896,5.430106438445574e-6,-0.0016604706262269996,0.8461457619868409,0.03173932548573812,1.0418881632591941e-8
ed_pct_frnbrn1,-0.7754618946287194,1.5500791736975007e-124,-0.8596071691976049,3.5198732393384475e-148,-0.7071041528723856,7.159491743985585e-207,-0.5051026314304471,0,-0.554043117037449,0,-0.38033432734052136,8.54959167264e-313,-0.6401022707234896,0,-0.6916801025375475,0,-0.5524757494538634,0
ed_mean_sei1,-0.02889003452971396,0.7237151159358168,-0.20635753691892444,0.014785724453087188,-0.1228223925711584,0.00713139030661583,0.06192732899925646,0.27201361970714844,0.3040723748355791,6.315025932077354e-9,0.04063560421248935,0.20484523259017254,0.04126672813129969,0.1525105453458465,0.11590729785794478,1.0695992123923379e-4,0.12487754558889652,3.4867416518393075e-11
hh_max_sei1:ed_pct_black1,-6.300929902549213e-4,0.11988990587996391,-1.4532358387431334e-4,0.7066522219590619,3.984257667884134e-5,0.8850622712582112,5.492993032071409e-4,0.13306515767944702,2.1624881336686257e-4,0.41866142715456933,3.119394411309034e-4,0.06680846136326656,1.7473613179119305e-4,0.42171887612738534,1.0252022621102489e-4,0.5694503782331775,-8.241795608394412e-5,0.48892485117978435
hh_max_sei1:ed_pct_frnbrn1,3.6834182960430333e-4,0.7126067742180482,0.0020904690664177404,0.09146470605448015,-7.888086720031055e-5,0.9341464349591686,-1.3516443008099142e-5,0.9529132957093764,-7.89429458653855e-4,0.001094262154973563,-6.487695650319182e-4,0.0026423755004013325,-6.049178574755543e-4,0.002880729988676999,1.803522551552216e-4,0.39614227924159506,0.0019170599667068574,2.080577408503119e-28
hh_max_sei1:ed_mean_sei1,-0.0015629706664081638,0.5639874679653848,0.0015049654003469956,0.5865219106883168,0.0017453135896898775,0.29310602171051114,-2.783856679386749e-4,0.8250037159016272,-0.002519295674983752,0.03007097825351373,8.757297918929864e-4,0.2013211444719089,-0.002345487683791019,7.290062025982927e-5,-0.0011157570069223906,0.06397553498392615,1.9081204422452904e-4,0.6061506745534617
